S.NO,School_Name,Location,City,Phone,Details
52,Ashoka Hall School,"Ahinsa Chowk, Vijay Nagar","Jabalpur - 482002, Madhya Pradesh,",(0761)-4031719,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
53,Asnani Public School,"Pebble Bay, Hoshangabad Road, Katara","Bhopal - 462043, Madhya Pradesh,",(958) 981-0080,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2011,
"
54,Aspirant International School,"Behind DIET Office, Civil Line","Datia - 475661, Madhya Pradesh,",(07522)-400453phone9300980402,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
55,Atomic Energy Central School - AECS,"RRCAT, CAT Colony","Indore - 452013, Madhya Pradesh,",(0731)-2487033Fax:(0731)2487200,"Kindergarten - Class XII,CBSE Board,Government School,Co-Educational School,
"
56,Atul Convent High School,"B-Block, Shashtri Nagar","Bhind - 477001, Madhya Pradesh,",(07534)-241722phone9926236250,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
57,Bal Bharati Public School - BBPS,"Moser Baer Power (MP) Ltd., Village and Post- Jaithari","Bhopal - 484330, Madhya Pradesh,",(843) 500-2663,"Class I - Class VIII,CBSE Board,Private School,Co-Educational School,
"
58,Bal Bharati School,Sirmour Chowk,"Rewa - 486001, Madhya Pradesh,","(07662)-251111,255855Fax:(07662)256666","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1997,
"
59,Bal Bharti Public School,Ni Shantpura ( Coach Repair Workshop),"Bhopal - 462001, Madhya Pradesh,","(0755)-2730206,2747836","Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
60,Bal Bhavan School,Shyamla Hills,"Bhopal - 462013, Madhya Pradesh,","(0755)-2661052,2661261phone9893036807","Class I - Class XII,CBSE Board,Private School,Co-Educational School,
"
61,Balaji Public School,"NH - 75, Near Arroo Mandir, Arroo, Dabra","Gwalior - 475110, Madhya Pradesh,",(0752)-4407989,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
62,Banyan Tree School,"Bhadbhada-Suraj Nagar Road, Ahead of Sports Authority of India (SAI) Campus, Village- Bishenkhedi, P.O. Suraj Nagar","Bhopal - 462044, Madhya Pradesh,","(0755)-2923080,2923178","Play - Class V,CBSE Board,Private School,Co-Educational School,
"
63,Bardsley English Medium Higher Secondary School,"National Highway No. 7, Mission Chowk","Katni - 485501, Madhya Pradesh,","(05357)-223572,220172Fax:(05357)223572","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1964,
"
64,BCM Prominent School,"2, Sakarkuwa, Rajoda Road","Dewas - 455001, Madhya Pradesh,",(7869107230942) 500-0000,"High Secondary School,CBSE Board,Private School,Co-Educational School,Established in 2004,
"
65,Bethany Convent School,"105-B, Natraj Homes, Indus, Town, Ratanpur","Bhopal - 462026, Madhya Pradesh,",(9753024699903) 960-0000,"Play - Class VIII,CBSE Board,Private School,Co-Educational School,Established in 1969,
"
66,Bhandari Public School,"Near B.T College, Sihada Road Khandwa","Khandwa - 450001, Madhya Pradesh,","(07333)-2249784,2249884","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
67,Bhansali Vidya Mandir Public School,"Bhansali Nagar, Satnoor, P.O. Paradsinga, Tehsil - Saucer","Chhindwara - 480108, Madhya Pradesh,","(07165)-226388,226379phone9425895818,9425872020,8462967377Fax:(07165)226381","Nursery - Class X,CBSE Board,Private School,Co-Educational School,Established in 1992,
"
68,Bharat Mata Convent Senior Secondary School,"Kala Bagh, Bareth Road","Vidisha - 464221, Madhya Pradesh,",(07594)-220006,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
69,Bharatiya Vidya Bhavan's Prism School,"Prism Cement Colony, Rajdeep' P.B. 2, Rewa Road","Satna - 485111, Madhya Pradesh,",(07672)-275303Fax:(07672)275304,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,Established in 1997,
"
70,Bhartiyam Vidya Niketan,"Chirvayi Naka, Shivpuri Link Road","Gwalior - 474001, Madhya Pradesh,","8223000086,9009330022(SchoolReception)","Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1996,
"
71,Bhaskar Academy,"Ringnodiya, Sanwer Road","Indore - 452001, Madhya Pradesh,",(942) 547-8984,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
72,Bhavan's Prominent School,"Near Bombay Hospital, Bhavans Prominent Road","Indore - 452001, Madhya Pradesh,","(0731)-3291931,3291932,3291933","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
73,Billabong High International School - BHIS,"Behind Radhaswami Satsang Bhawan, Khaira Road, Chorhata","Rewa - 486001, Madhya Pradesh,",(883) 992-3006,"Play - Class VII,CBSE Board,Private School,Co-Educational School,
"
74,Billabong High International School - BHIS,"Near MIST College, Behind Arbindo Hospital, Sanwer Road","Indore - 453111, Madhya Pradesh,",(731) 498-8155,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
75,Billabong High International School - BHIS,Tilwara Road,"Jabalpur, Madhya Pradesh,",(750) 999-4711,"Class I - Class VIII,CBSE Board,Private School,Co-Educational School,
"
76,Birla Open Minds International School,"Jhalaria Road, Off Bypass Road, Near County Walk Township","Indore - 452016, Madhya Pradesh,",(9109105553952) 220-0000,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
77,Birla Open Minds International School,"Village - Dhaneli, Chitora Road, Badagaon, Morar","Gwalior - 474006, Madhya Pradesh,",(6232000680623) 200-0000,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
78,Birla Open Minds International School,"Near VNS College, Neelbad, Barkheda","Bhopal - 462044, Madhya Pradesh,",(787) 500-0888,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
79,Blooms Academy School,"NH -75, Panna Road Satna","Satna - 485001, Madhya Pradesh,",(7672227323767) 220-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
80,Bodhi International Skool,"C-7, Premnath Dongre Nagar, Dongre Nager Main Road, Dongre Nagar","Ratlam - 457001, Madhya Pradesh,","(07412)-263463,263363phone7772868777,7772869777","Class I - Class X,CBSE Board,Private School,Co-Educational School,
"
81,Bonnie Foi Co-Ed. Senior Secondary School,"Nerela Shankari, Ayodhya Bypass Road","Bhopal - 462021, Madhya Pradesh,",(0755)-3257041Fax:(0755)3257042,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
82,Bright Star Public School,"Parasia Road, SH-19, New SR Home City, Building No. 25, Poama","Bhopal, Madhya Pradesh,",(769) 749-3769,"Play - Class V,CBSE Board,Private School,Co-Educational School,
"
83,Brilliant Higher Secondary School,"578, Khatiwala Tank","Indore - 452014, Madhya Pradesh,",(0731)-4092864,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
84,BSF Senior Secondary School,P.O. Tekanpur,"Gwalior - 475005, Madhya Pradesh,",(07524)-275120,"Class X - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1970,
"
85,Burhanpur Public School,"New Indira Colony, Burhanpur","Indore - 450331, Madhya Pradesh,",(909) 825-2437,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
86,Cambridge International,Khandwa Road,"Indore - 452001, Madhya Pradesh,",(0731)-2477761,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
87,Campion School,"E-7, Arera Colony, Post Box No. 2","Bhopal - 462016, Madhya Pradesh,","(0755)-2464426,2464155Fax:(0755)2464404","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1965,
"
88,Carmel Convent School,"Ratanpur, Misrod","Bhopal - 462047, Madhya Pradesh,",(0755)-2499205phone9174871186Fax:(0755)2499499,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
89,Carmel Convent Senior Secondary School,"Kamed, Agar Road","Ujjain - 456001, Madhya Pradesh,",(9179979570887) 180-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1997,
"
90,Carmel Convent Senior Secondary School,"B.H.E.L., Govindpura P.O.","Bhopal - 462023, Madhya Pradesh,",(0755)-2488578,"Nursery - Class XII,CBSE Board,Private School,Girls Only School,Established in 1968,
"
91,Carmel Convent Senior Secondary School,C.R.P.F. Road,"Neemuch - 458441, Madhya Pradesh,",(07423)-220771,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
92,Carmel Convent Senior Secondary School,"Ratanpur, Misrod","Bhopal - 462026, Madhya Pradesh,",(0755)-2499205phone9174871186Fax:(0755)2499499,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
93,Central Academy,"Civil Lines, Near NCC Office, Rewa","Rewa - 486001, Madhya Pradesh,",(7662)-241788Fax:(7662)421665,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
94,Central Academy,Malanjkhand,"Balaghat - 481116, Madhya Pradesh,",(07637)-257069,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1999,
"
95,Central Academy School,Hindustan Copper Project Post: Malanjkhand,"Balaghat - 481116, Madhya Pradesh,",(07637)-257069,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1966,
"
96,Central Academy School,"97 B Block, Aditya Puram","Gwalior - 472019, Madhya Pradesh,",(9425168000942) 500-0000,"Play - Class XII,CBSE Board,Private School,Co-Educational School,
"
97,Central India Academy,Bhopal Road,"Dewas - 455001, Madhya Pradesh,","(07272)-282887,282889","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
98,Central School,"Kendriya Vidyalaya No. 1, Resi Area, Mahatma Gandhi Road","Indore - 452001, Madhya Pradesh,",(0731)-2701887,"Class V - Class XII,CBSE Board,Government School,Co-Educational School,
"
99,Chavara Vidyapeeth,"P.B. No. 30, Kheri","Narsinghpur - 487001, Madhya Pradesh,","(07792)-232781,230376","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1995,
"
100,Chhatrapati Shivaji Public School,"109, Usha Nagar Extension, Narendra Tiwari Marg","Indore - 452009, Madhya Pradesh,","(0731)-2483865,4246960","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
101,Chhatrasal Public Higher Secondary School,"Phase 2, Chhatrasal Nagar","Bhopal - 462003, Madhya Pradesh,",(0755)-2752581,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
102,Choithram International School,"Choithram Hospital Campus, 5 Manik Bagh Road","Indore - 452014, Madhya Pradesh,","(0731)-2360345,2360346Fax:(0731)2760707","Nursery - Class XII,CBSE Board,Private School (International),Co-Educational School,
"
103,Choithram School,"Maya Kheri Road, Nipania, Jhalariya","Indore - 452016, Madhya Pradesh,",(6264739071738) 990-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1972,
"
104,Choithram School,5 Manik Bagh Road,"Indore - 452014, Madhya Pradesh,","(0731)-2475252,2475253,2475254Fax:(0731)2760707","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1972,
"
105,Christ Church Boys' Senior Secondary School,"Sleeman Road, North Civil Lines","Jabalpur - 482001, Madhya Pradesh,","(0761)-2323182,2626433","Nursery - Class XII,CBSE Board,Private School (Catholic),Boys Only School,
"
106,Christ Church Girls' Senior Secondary School,North Civil Lines,"Jabalpur - 482001, Madhya Pradesh,",(0761)-2623289,"Nursery - Class XII,CBSE Board,Private School,Girls Only School,
"
107,Christ Jyoti Senior Secondary School,"PB No. 22, Rewa Road","Satna - 485001, Madhya Pradesh,",(07672)-406020phone7509704136,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1973,
"
108,Christ Memorial School,"Kohinoor House, Jain Nagar, Lalghati","Bhopal - 462001, Madhya Pradesh,",(0755)-2641329,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
109,Christ Senior Secondary School,"PB No. 15, Laxmi Ganj","Guna - 473001, Madhya Pradesh,",(7542221268754) 220-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1980,
"
110,Christian Eminent Higher Secondary School,M.I.G. Colony,"Indore - 452001, Madhya Pradesh,",(0731)-2558065,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
111,Christu Jyoti Convent Senior Secondary School,"Malanwasa P.B. No. 248, Engineering College Road, Motilal Nehru Nagar","Ujjain - 456001, Madhya Pradesh,","(0734)-2512757,2510901,2525380","Senior Secondary School,CBSE Board,Private School,Co-Educational School,Established in 1989,
"
112,City Central School,"Near Dak Bungalow, Ater Road","Bhind - 477001, Madhya Pradesh,",(07534)-233784phone8458811323,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1988,
"
113,Colonel's Academy,"51, Silver Oaks Estate, Bercha Road Mhow","Indore - 453442, Madhya Pradesh,",(07324)-271286phone8770710797,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1995,
"
114,Columbia Convent Senior Secondary School,"Manavta Nagar, Kanadia Road","Indore - 452016, Madhya Pradesh,","(0731)-2845249,2845402,2845444phone9826737370","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1991,
"
115,DAV ACC Public School,"Kymore, Teh. Vijayraghawgarh, P.O. Kymore","Katni - 483880, Madhya Pradesh,","9893405225,9425536703Fax:(07626)272185","Class V - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1992,
"
116,DAV Centenary Public School - Amlohri,"Amlohri Project - NCL, Singrauli","Sidhi - 486887, Madhya Pradesh,","(7805)-257540,278261","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
117,DAV Public School - Jayant,"CWS Jayant Colony, Po-Jayant","Sidhi - 486890, Madhya Pradesh,",(780) 522-6621,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
118,De Paul School,"Vindhyanagar, Waidan, District - Singrauli","Sidhi - 486885, Madhya Pradesh,",(07805)-244336Fax:(07805)244336,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
119,Deepak Memorial Academy,"Anand Nagar, Makronia","Sagar - 470001, Madhya Pradesh,",(07582)-230149,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
120,Delhi International School,"NH-59, Indore - Ahmedabad Highway (Dhar Road), Jawahar Tekri","Indore - 452002, Madhya Pradesh,","(0731)-2892785,2892786phone9826277862,7869334542Fax:(0731)2892785,2892786","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
121,Delhi Public Academy,"B-5, Deen Dayal Nagar","Gwalior, Madhya Pradesh,",(9516005004951) 600-0000,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
122,Delhi Public School - DPS Bhopal,"Near Neelbad Crossing, Bhadbhada Road","Bhopal - 462044, Madhya Pradesh,","(0755)-6611400,6611401","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
123,Delhi Public School - DPS Guna,N.F.L. Vijaipur Project,"Guna - 473111, Madhya Pradesh,",(07544)-273057,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
124,Delhi Public School - DPS Gwalior,"A.B. Road, Rairu, Nirawali","Gwalior - 474001, Madhya Pradesh,","(0751)-2568444,2568555,3004666phone8966003470,9926800010","Class V - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2006,
"
125,Delhi Public School - DPS Indore,"Pipliakumar - Nipania Road, Village - Nipania","Indore - 452001, Madhya Pradesh,","(0731)-2444401,4064403Fax:(0731)4064403","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1982,
"
126,Delhi Public School - DPS Jabalpur,Nagpur Road,"Jabalpur - 482001, Madhya Pradesh,",(9111015341911) 100-0000,"Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
127,Delhi Public School - DPS Malanpur,"Bhind Road, Near Brahamkumaris","Gwalior - 474010, Madhya Pradesh,","(0751)-2821160phone7879836612,7879836611","Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
128,Delhi Public School - DPS Nigahi,Nigahi,"Sidhi - 486884, Madhya Pradesh,",(07805)-276536,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
129,Delhi Public School - DPS Rewa,P.O. Vindhyanagar District - Singrauli,"Rewa - 486885, Madhya Pradesh,","(07805)-243080,245109,244227","Class V - Class XII,CBSE Board,Private School,Co-Educational School,
"
130,Delhi Public World School - DPWS,"31, 32/2 Gram Sukliya, A.B. Road, Kshipra","Dewas - 455001, Madhya Pradesh,","(07272)-264515,264517phone7089422222,7089522222,7089622222,7089722222","Play - Class XII,CBSE Board,Private School,Co-Educational School,
"
